,L1_delivery_charger3,H1_fireextinguisher1,H1_fireextinguisher2,H1,H1_fireextinguisher3,H1_fireextinguisher4,H2,H2_fireextinguisher1,H2_firehydrant1,H3_fireextinguisher1,H3,trig1,H5_fireextinguisher4,H5,H5_fireextinguisher3,H5_fireextinguisher2,H4,L1_delivery_charger1,H4_fireextinguisher1,H4_fireextinguisher2,H5_firehydrant1,S1,A1,A2,A3,A4,B6,B4,B4_fireextinguisher1,B3,B3_fireextinguisher1,B2,B2_fireextinguisher1,B1,B1_fireextinguisher1,H4_firehydrant1,trig2,B5,H5_fireextinguisher1,B5_fireextinguisher1,L1_delivery_charger2,H6_fireextinguisher1,H6_fireextinguisher2,H6_fireextinguisher3,H6,H6_fireextinguisher4,trig3,H7,H7_firehydrant1,H7_fireextinguisher1,H8_fireextinguisher1,H8_fireextinguisher2,H8,H8_fireextinguisher3,H10_fireextinguisher1,H10_fireextinguisher4,H10,H10_fireextinguisher3,H10_fireextinguisher2,H9_fireextinguisher1,H9,H9_fireextinguisher2,H9_firehydrant1,H9_fireextinguisher3,H9_fireextinguisher4,S2,C1,C1_fireextinguisher1,H10_fireextinguisher5
L1_delivery_charger3,0.0,3.06,9.99,21.34,25.54,28.45,51.97,51.72,53.6,63.48,65.57,80.97,89.2,108.21,122.12,144.83,96.07,110.96,116.11,105.0,112.25,57.74,16.55,32.39,42.13,51.78,102.87,89.97,92.61,100.43,101.86,109.44,110.68,119.23,121.14,83.62,74.07,76.89,129.79,79.41,170.09,167.63,159.47,152.08,150.26,137.42,123.78,117.81,122.29,123.17,123.86,133.23,124.29,133.99,153.03,157.87,164.82,177.71,190.42,155.89,163.3,166.73,182.87,184.46,188.47,107.74,131.42,125.11,143.76
H1_fireextinguisher1,3.06,0.0,7.37,18.72,22.92,25.83,49.35,49.1,50.98,60.86,62.95,78.35,86.58,105.59,119.5,142.21,93.45,108.34,113.49,102.38,109.63,55.12,13.93,29.77,39.51,49.16,100.25,87.35,90.0,97.82,99.24,106.82,108.06,116.62,118.52,81.0,71.45,74.27,127.17,76.79,167.47,165.01,156.85,149.46,147.65,134.8,121.16,115.2,119.68,120.55,121.24,130.61,121.67,131.37,150.41,155.25,162.2,175.09,187.8,153.27,160.68,164.11,180.26,181.85,185.86,105.12,128.8,122.5,141.14
H1_fireextinguisher2,9.99,7.37,0.0,11.77,15.98,18.89,42.4,42.15,44.03,53.91,56.0,71.4,79.63,98.64,112.56,135.26,86.5,101.39,106.54,95.44,102.68,48.17,15.12,22.82,32.56,42.21,93.3,80.4,83.05,90.87,92.29,99.87,101.11,109.67,111.57,74.05,64.5,67.33,120.23,69.85,160.53,158.06,149.9,142.51,140.7,127.85,114.21,108.25,112.73,113.6,114.29,123.66,114.72,124.42,143.46,148.3,155.25,168.14,180.85,146.33,153.74,157.17,173.31,174.9,178.91,98.17,121.85,115.55,134.2
H1,21.34,18.72,11.77,0.0,4.2,7.11,30.63,30.38,32.26,42.14,44.23,59.63,67.86,86.87,100.78,123.49,74.73,89.62,94.77,83.66,90.91,36.4,26.48,11.05,20.79,30.44,81.53,68.63,71.27,79.09,80.52,88.1,89.34,97.89,99.8,62.28,52.73,55.55,108.45,58.07,148.75,146.29,138.13,130.74,128.92,116.08,102.44,96.47,100.95,101.83,102.52,111.89,102.95,112.65,131.69,136.53,143.48,156.37,169.08,134.55,141.96,145.39,161.53,163.12,167.13,86.4,110.08,103.77,122.42
H1_fireextinguisher3,25.54,22.92,15.98,4.2,0.0,3.51,27.02,26.77,28.65,38.53,40.62,56.03,64.25,83.26,97.18,119.88,71.12,86.01,91.16,80.06,87.3,32.79,30.68,15.25,17.18,26.84,77.92,65.02,67.67,75.49,76.91,84.49,85.73,94.29,96.19,58.67,49.12,51.95,104.85,54.47,145.15,142.68,134.52,127.13,125.32,112.47,98.83,92.87,97.35,98.22,98.91,108.28,99.34,109.04,128.08,132.92,139.87,152.76,165.47,130.95,138.36,141.79,157.93,159.52,163.53,82.79,106.47,100.17,118.82
H1_fireextinguisher4,28.45,25.83,18.89,7.11,3.51,0.0,24.19,23.94,25.82,35.7,37.79,53.19,61.42,80.43,94.34,117.05,68.29,83.18,88.33,77.22,84.47,29.96,33.59,18.16,14.35,24.0,75.09,62.19,64.84,72.65,74.08,81.66,82.9,91.45,93.36,55.84,46.29,49.11,102.01,51.63,142.31,139.85,131.69,124.3,122.48,109.64,96.0,90.03,94.51,95.39,96.08,105.45,96.51,106.21,125.25,130.09,137.04,149.93,162.64,128.11,135.52,138.95,155.1,156.68,160.7,79.96,103.64,97.33,115.98
H2,51.97,49.35,42.4,30.63,27.02,24.19,0.0,5.38,6.0,13.9,15.98,31.39,39.62,58.63,72.54,95.24,46.49,61.37,66.52,55.42,62.66,8.16,57.11,41.68,31.56,21.79,53.28,40.38,43.03,50.85,52.27,59.85,61.1,69.65,71.56,34.04,24.49,27.31,80.21,29.83,120.51,118.05,109.89,102.5,100.68,87.84,74.2,68.23,72.71,73.59,74.28,83.64,74.7,84.41,103.44,108.28,115.23,128.12,140.83,106.31,113.72,117.15,133.29,134.88,138.89,58.16,81.84,75.53,94.18
H2_fireextinguisher1,51.72,49.1,42.15,30.38,26.77,23.94,5.38,0.0,2.07,18.54,20.63,36.03,44.26,63.27,77.18,99.89,51.13,66.02,71.17,60.06,67.31,12.8,56.85,41.43,31.31,21.54,57.93,45.03,47.68,55.49,56.92,64.5,65.74,74.29,76.2,38.68,29.13,31.95,84.85,34.47,125.15,122.69,114.53,107.14,105.33,92.48,78.84,72.88,77.36,78.23,78.92,88.29,79.35,89.05,108.09,112.93,119.88,132.77,145.48,110.95,118.36,121.79,137.94,139.53,143.54,62.8,86.48,80.18,98.82
H2_firehydrant1,53.6,50.98,44.03,32.26,28.65,25.82,6.0,2.07,0.0,19.6,21.69,37.09,45.32,64.33,78.24,100.95,52.19,67.08,72.23,61.12,68.37,13.86,58.73,43.3,33.18,23.42,58.99,46.09,48.74,56.56,57.98,65.56,66.8,75.36,77.26,39.74,30.19,33.02,85.92,35.54,126.22,123.75,115.59,108.2,106.39,93.54,79.9,73.94,78.42,79.29,79.98,89.35,80.41,90.11,109.15,113.99,120.94,133.83,146.54,112.01,119.43,122.86,139.0,140.59,144.6,63.86,87.54,81.24,99.89
H3_fireextinguisher1,63.48,60.86,53.91,42.14,38.53,35.7,13.9,18.54,19.6,0.0,11.61,27.01,35.24,54.25,68.17,90.87,42.11,57.0,62.15,51.04,58.29,16.54,68.62,53.19,43.07,33.3,48.91,36.01,38.66,46.48,47.9,55.48,56.72,65.28,67.18,29.66,12.71,15.53,75.84,18.05,128.9,126.43,118.27,110.88,109.07,96.22,82.58,76.62,81.1,81.97,82.66,92.03,83.09,92.79,111.83,116.67,123.62,136.51,149.22,114.7,122.11,125.54,141.68,143.27,147.28,66.54,90.22,83.92,102.57
