,WP0,WP1,WP2,WP3,WP4,WP5,WP6,WP7,WP8,WP9,WP10,WP11
WP0,0.000,100.000,57.457,83.223,76.284,51.009,33.759,133.129,151.657,157.690,182.840,175.794
WP1,100.000,0.000,157.457,183.223,176.284,151.009,133.759,33.129,51.657,57.690,82.840,75.794
WP2,57.457,157.457,0.000,25.819,39.549,22.264,33.806,190.586,209.114,215.147,240.297,233.251
WP3,83.223,183.223,25.819,0.000,22.299,41.089,59.572,216.353,234.880,240.913,266.063,259.017
WP4,76.284,176.284,39.549,22.299,0.000,26.334,49.055,209.414,227.941,233.974,259.124,252.078
WP5,51.009,151.009,22.264,41.089,26.334,0.000,23.780,184.139,202.667,208.699,233.849,226.803
WP6,33.759,133.759,33.806,59.572,49.055,23.780,0.000,166.888,185.416,191.448,216.599,209.552
WP7,133.129,33.129,190.586,216.353,209.414,184.139,166.888,0.000,24.542,33.904,59.055,48.678
WP8,151.657,51.657,209.114,234.880,227.941,202.667,185.416,24.542,0.000,22.610,40.227,25.312
WP9,157.690,57.690,215.147,240.913,233.974,208.699,191.448,33.904,22.610,0.000,25.250,38.876
WP10,182.840,82.840,240.297,266.063,259.124,233.849,216.599,59.055,40.227,25.250,0.000,21.399
WP11,175.794,75.794,233.251,259.017,252.078,226.803,209.552,48.678,25.312,38.876,21.399,0.000
