,H1_fireextinguisher1,L1_delivery_charger3,trig1,H1_fireextinguisher2,H2,H2_firehydrant1,S1,H3,H3_fireextinguisher1,H4_fireextinguisher1,H4,H5_firehydrant1,H5_fireextinguisher2,H5,H5_firehydrant2,H5_fireextinguisher1,L1_delivery_charger1,trig2,H1,H6,trig3,C1,C1_fireextinguisher1,H7_fireextinguisher1,H7,H7_firehydrant1,H8,H10_firehydrant1,H9_fireextinguisher1,H9,H10,S2,L1_delivery_charger2
H1_fireextinguisher1,0.0,84.3,188.3,266.61,496.95,566.44,517.07,711.29,842.02,891.76,983.98,956.09,1182.57,1219.03,1385.59,1470.07,1068.54,1055.22,138.4,1946.3,1648.82,1763.31,1746.99,1612.05,1567.58,1643.39,1801.97,2016.46,1985.8,2080.45,2099.28,1517.07,2203.12
L1_delivery_charger3,84.3,0.0,104.0,182.31,412.65,482.14,432.77,626.99,757.72,807.46,899.68,871.79,1098.27,1134.73,1301.29,1385.77,984.24,970.92,54.1,1862.0,1564.52,1679.01,1662.69,1527.75,1483.28,1559.09,1717.67,1932.16,1901.5,1996.15,2014.98,1432.77,2118.82
trig1,188.3,104.0,0.0,78.31,308.65,378.14,328.77,522.98,653.71,703.46,795.68,767.79,994.27,1030.73,1197.28,1281.77,880.24,866.92,49.9,1757.99,1460.52,1575.01,1558.69,1423.75,1379.28,1455.08,1613.67,1828.16,1797.5,1892.15,1910.98,1328.77,2014.82
H1_fireextinguisher2,266.61,182.31,78.31,0.0,235.43,304.92,255.55,449.76,580.49,630.23,722.46,694.56,921.05,957.51,1124.06,1208.55,807.02,793.69,128.21,1684.77,1387.3,1501.78,1485.47,1350.53,1306.06,1381.86,1540.44,1754.94,1724.28,1818.93,1837.76,1255.55,1941.6
H2,496.95,412.65,308.65,235.43,0.0,69.5,40.7,234.91,365.64,415.38,507.61,479.71,706.19,742.65,909.21,993.7,592.17,578.84,358.55,1469.92,1172.45,1286.93,1270.61,1135.68,1091.21,1167.01,1325.59,1540.09,1509.43,1604.08,1622.91,1040.7,1726.75
H2_firehydrant1,566.44,482.14,378.14,304.92,69.5,0.0,110.19,304.41,435.14,484.88,577.1,549.21,775.69,812.15,978.71,1063.19,661.66,648.34,428.04,1539.42,1241.94,1356.43,1340.11,1205.17,1160.7,1236.5,1395.09,1609.58,1578.92,1673.57,1692.4,1110.19,1796.24
S1,517.07,432.77,328.77,255.55,40.7,110.19,0.0,194.21,324.94,374.68,466.91,439.02,665.5,701.96,868.51,953.0,551.47,538.15,378.67,1429.22,1131.75,1246.24,1229.92,1094.98,1050.51,1126.31,1284.9,1499.39,1468.73,1563.38,1582.21,1000.0,1686.05
H3,711.29,626.99,522.98,449.76,234.91,304.41,194.21,0.0,130.73,210.37,302.6,274.7,501.19,537.65,704.2,788.69,387.16,373.83,572.88,1623.44,1325.96,1440.45,1424.13,1289.19,1244.72,1320.53,1479.11,1693.6,1662.94,1757.59,1776.42,1194.21,1880.26
H3_fireextinguisher1,842.02,757.72,653.71,580.49,365.64,435.14,324.94,130.73,0.0,241.47,333.7,305.81,532.29,568.75,735.3,819.79,418.26,404.94,703.61,1754.17,1456.69,1571.18,1554.86,1419.92,1375.45,1451.26,1609.84,1824.33,1793.67,1888.32,1907.15,1324.94,2010.99
H4_fireextinguisher1,891.76,807.46,703.46,630.23,415.38,484.88,374.68,210.37,241.47,0.0,92.22,162.85,389.33,425.79,592.35,676.83,176.78,261.98,753.36,1803.91,1506.43,1620.92,1604.6,1469.66,1425.19,1501.0,1659.58,1874.08,1843.42,1938.06,1956.89,1374.68,2060.74
